mmsi,turnrate,shipLength,heading,course,lon,shipWidth,speed,lat,postime,callsign,cargo_type,destination,imo,ship_status,ship_name
413801383,0.0,0.0,511.0,286.9,118.25689333333334,0.0,3.8,31.379563333333333,20241022151422,,,,,,
413792854,0.0,0.0,511.0,286.0,118.25737333333332,0.0,3.9,31.379376666666666,20241022151517,,未知,,,,YUHONGXIANG8999
413790241,0.0,55.0,0.0,286.9,118.26523333333331,10.0,4.6,31.377188333333333,20241022151433,,货轮,0,0.0,0.0,WANHENGYUAN9519
413772082,0.0,0.0,285.0,285.0,118.20819166666666,0.0,3.1,31.39086333333333,20241022151515,,未知,,,,XINCHANGXING8888
413804304,0.0,68.0,286.0,286.3,118.26824666666668,11.0,3.5,31.37637833333333,20241022151453,YYYY,货轮,ZHANGJIAGANG,0.0,0.0,YU XIN HUO 10980
413843456,0.0,0.0,511.0,52.4,118.27608,0.0,2.9,31.375546666666665,20241022151415,,,,,,
413990696,0.0,0.0,511.0,286.8,118.25065,0.0,4.1,31.3808,20241022151517,,,,,,
413793802,0.0,0.0,511.0,171.4,118.28769333333334,0.0,0.0,31.30117,20241022151508,,未知,,,,WUHULIANSHUN1618
413808246,0.0,0.0,511.0,276.3,118.28861666666668,0.0,5.6,31.307133333333333,20241022151508,,,,,,
413767728,0.0,66.0,275.0,275.1,118.28714833333332,13.0,7.0,31.30708,20241022151404,YYYY,货轮（载有B类危险、有害或污染货物),,,,
413963128,0.0,0.0,511.0,276.2,118.28836,0.0,5.2,31.307066666666667,20241022151503,,未知,,,,JIANGBINJI698
413775831,0.0,118.0,0.0,262.3,118.21839833333334,20.0,4.5,31.29957333333333,20241022151407,,货轮,JIANGYIN,0.0,0.0,JUN YOU HAO
413863991,0.0,105.0,511.0,84.1,118.25942666666668,16.0,10.9,31.29983,20241022151444,,油轮,AN QING,0.0,,SU YONG XIN 1
413816317,0.0,0.0,511.0,76.1,118.24721333333332,0.0,4.9,31.29867,20241022151438,,,,,,
413876841,0.0,0.0,511.0,83.7,118.25165333333334,0.0,6.9,31.30084,20241022151511,,,,,,
413833973,0.0,0.0,511.0,80.8,118.24756,0.0,5.2,31.29993333333333,20241022151443,,未知,,,,MINGHANGSHUN
413996097,0.0,109.0,0.0,248.7,118.23609666666668,19.0,5.1,31.299956666666667,20241022151446,03ISB,货轮,HUANGSHI,0.0,0.0,HONGYU1HAO
413839687,0.0,0.0,269.0,269.0,118.22624333333331,0.0,4.1,31.299163333333333,20241022151509,,未知,,,,XIANGYU997
413996986,0.0,79.0,80.0,80.9,118.24338666666668,14.0,4.0,31.298496666666665,20241022151407,       ,货轮,,,,
413762541,0.0,87.0,256.0,256.6,118.25278333333333,14.0,4.3,31.303341666666668,20241022151506,456789,油轮,LINXIANG,0.0,,XINPINGJIANG1013
413868086,0.0,0.0,257.0,257.5,118.21739333333332,0.0,4.3,31.298515,20241022151508,,未知,,,,HAIHONGSHUNDA
414400870,0.0,99.0,275.0,360.0,118.293565,16.0,0.0,31.300111666666663,20241022151502,,货轮,TONGLING,0.0,1.0,AN JIE LI 17
413879846,0.0,0.0,511.0,151.6,118.29270666666666,0.0,0.0,31.299443333333333,20241022151501,,未知,,,,ZHANG GANG 1916
413961906,0.0,0.0,511.0,344.7,118.30376666666666,0.0,0.1,31.299703333333333,20241022151513,,未知,,,15.0,HUA RUN 01  
413835267,0.0,89.0,23.0,23.4,118.30367333333334,15.0,0.1,31.299015,20241022151411,0,货轮,,,,
413802805,0.0,0.0,511.0,144.8,118.3038,0.0,0.0,31.29985,20241022151426,,未知,,,,CHANGNENG988
413833956,0.0,0.0,511.0,0.0,118.30361666666668,0.0,0.0,31.299166666666668,20241022151500,,未知,,,,HONG YUN 6188
413770011,0.0,0.0,238.0,238.9,118.28311666666669,0.0,0.0,31.30069333333333,20241022151415,,,,,5.0,
413876879,0.0,67.0,511.0,262.6,118.29127333333334,13.0,0.6,31.300643333333333,20241022151515,,货轮,,,,
413761341,0.0,0.0,161.0,161.8,118.29023166666668,0.0,0.0,31.299641666666663,20241022151453,,未知,,,,SHUIYANGJIANG5898
413829132,0.0,105.0,511.0,0.0,118.29093333333331,18.0,0.0,31.30043333333333,20241022151442,311B,货轮,11,0.0,,WAN SHUN HANG 16998
413771152,0.0,0.0,511.0,263.1,118.29143166666668,0.0,0.7,31.3009,20241022151414,,未知,,,,LIDA16
413769893,0.0,92.0,511.0,261.6,118.28817333333332,15.0,0.0,31.29834,20241022151507,,货轮,WUHU,0.0,,XINJINLONG58
413831272,0.0,0.0,511.0,157.0,118.287895,0.0,0.0,31.300585,20241022151503,,未知,,,1.0,ZHENG HANG 99
413827812,0.0,120.0,238.0,238.0,118.28786,22.0,0.1,31.300966666666667,20241022151503,000000,货轮,,,0.0,
413866008,0.0,118.0,511.0,360.0,118.287945,20.0,0.0,31.300835,20241022151511,,货轮,,,0.0,
413805937,0.0,0.0,359.0,359.0,118.28521833333332,0.0,0.0,31.30100333333333,20241022151433,,未知,,,,WUHULIANSHUN856
413777814,0.0,91.0,325.0,325.8,118.29857166666666,15.0,0.0,31.30038,20241022151432,0,货轮,,,,
413796997,0.0,0.0,511.0,360.0,118.29690833333332,0.0,0.0,31.298791666666663,20241022151419,,未知,,,15.0,XINHAOYANG6
413800823,0.0,0.0,511.0,254.6,118.296085,0.0,0.0,31.30000833333333,20241022151505,,未知,SHANGHAI,0.0,,
413790129,0.0,90.0,511.0,245.1,118.29592833333334,16.0,0.0,31.30030333333333,20241022151510,       ,货轮,,,,
413819534,0.0,0.0,0.0,0.0,118.29850166666668,0.0,0.4,31.300336666666663,20241022151424,,未知,,,,WUHUSHUNFENG1118
413771461,0.0,86.0,511.0,78.8,118.30590666666669,14.0,0.0,31.299366666666668,20241022151504,,货轮,TIANZHEN,0.0,,WUHUZHONGDA01
413996677,0.0,89.0,511.0,190.7,118.305955,15.0,0.0,31.299245,20241022151411,,货轮,JIANGYIN,0.0,1.0,BAO YANG 999
413793483,0.0,0.0,511.0,283.3,118.29843,0.0,0.0,31.299696666666662,20241022151510,,,,,,
413834238,0.0,92.0,511.0,180.3,118.301,15.0,0.0,31.299716666666665,20241022151432,,货轮,,,,
413833288,0.0,0.0,103.0,103.2,118.30106,0.0,0.1,31.299513333333334,20241022151410,,未知,,,,WANXINGDA5168
413828909,0.0,0.0,511.0,360.0,118.30101666666668,0.0,0.0,31.29983333333333,20241022151508,,未知,,,0.0,ZHENG FAN 5858
413996676,0.0,0.0,229.0,229.5,118.29852833333334,0.0,0.0,31.29982,20241022151508,,,,,,
413785149,0.0,99.0,511.0,91.8,118.30125,16.0,0.0,31.299233333333333,20241022151447,0000000,货轮,,,,
413996258,0.0,76.0,511.0,38.0,118.28268333333334,14.0,0.0,31.300283333333333,20241022151515,,货轮,NANJING,0.0,,WANLONGXIANG99
413794064,0.0,0.0,511.0,260.9,118.28310666666668,0.0,0.0,31.299633333333333,20241022151434,,未知,,,,ZHENGFA2HAO
413827972,0.0,0.0,511.0,179.5,118.28303333333334,0.0,0.1,31.3001,20241022151440,,未知,,,,JUN WEI998
413819604,0.0,110.0,511.0,287.1,118.28294,20.0,0.0,31.299806666666665,20241022151504,,货轮,NANTONG,0.0,1.0,HUAXIANG1888
413769591,0.0,68.0,0.0,156.7,118.28386166666668,11.0,0.0,31.38799833333333,20241022151453,023SB,货轮,0,0.0,0.0,WANHONGYUN2122
413821335,0.0,0.0,201.0,201.9,118.28024666666668,0.0,4.1,31.383426666666665,20241022151503,,未知,,,,ANYUAN8058          
413786563,0.0,66.0,511.0,0.0,118.285385,12.0,0.0,31.390811666666668,20241022151440,YYYY,货轮,,,0.0,
412358390,0.0,140.0,96.0,95.3,118.29487833333332,20.0,8.8,31.30338666666667,20241022151438,BPIC8,货轮,WU HU,0.0,0.0,CHUN KAI 9
413844683,0.0,99.0,511.0,91.6,118.2946,16.0,5.7,31.30296333333333,20241022151436,,货轮,TAIZHOU,0.0,,YU XIN HUO 16958
413816742,0.0,0.0,511.0,273.3,118.29160666666668,0.0,5.5,31.30606166666667,20241022151513,,未知,,,,QIANFENG1002
413809065,0.0,65.0,271.0,271.4,118.291255,13.0,5.0,31.30675,20241022151504,00000,其他船舶,,,,
413789879,0.0,0.0,511.0,271.0,118.29024,0.0,4.9,31.30715,20241022151501,,未知,,,,WANJIXIANG8899
413789131,231.41525472038688,0.0,511.0,360.0,118.29019166666669,0.0,4.5,31.303035,20241022151505,,未知,,,0.0,HUIFENG1699
413767536,0.0,0.0,0.0,90.2,118.293145,0.0,2.8,31.302711666666667,20241022151509,,未知,,,,HENGSHUN158
413971953,0.0,49.0,511.0,270.4,118.29293333333334,9.0,4.9,31.307076666666667,20241022151457,0,货轮,TONGLING,0.0,,WAN JIAN HAI 798
413764619,0.0,0.0,511.0,278.0,118.29241166666668,0.0,3.6,31.306708333333333,20241022151402,,,,,,
413874485,0.0,62.0,511.0,270.5,118.2906,13.0,5.1,31.30661333333333,20241022151517,,油轮,WUHAN,0.0,,CHANGJIANGXIANGLON88
413771616,0.0,0.0,355.0,355.1,118.31681833333332,0.0,0.0,31.297066666666662,20241022151454,,未知,,,5.0,WUHUSHUNFENG690
413794418,0.0,83.0,511.0,255.4,118.31256,13.0,0.0,31.298586666666665,20241022151446,,货轮,,,,
413994781,0.0,62.0,511.0,176.6,118.31206666666668,11.0,0.1,31.29788333333333,20241022151516,,货轮,SHANGHAI,0.0,,FUFENG666
413827015,0.0,0.0,511.0,187.6,118.31229,0.0,0.0,31.298358333333333,20241022151510,,未知,,,,HUAYUN169
413794844,0.0,86.0,0.0,0.0,118.31240333333334,15.0,0.0,31.29850833333333,20241022151503,0000,货轮,DOM(,0.0,,HUAYUN6869
413830026,0.0,62.0,0.0,0.0,118.312,12.0,0.0,31.297505,20241022151449,0000000,货轮,SHANGHAI,0.0,,HONGHE728
413829605,0.0,119.0,511.0,272.8,118.30838666666666,20.0,0.0,31.29933,20241022151441,,货轮,SHANGHAI,0.0,,ZHENGYANG6HAO
413837647,0.0,0.0,65.0,65.3,118.307595,0.0,0.0,31.297451666666667,20241022151430,,未知,,,,TONGLIAN8999
413774985,0.0,55.0,0.0,0.0,118.31816666666668,10.0,0.0,31.295966666666665,20241022151505,,货轮,WU HU,0.0,,GUOQIANG6899
413828403,0.0,0.0,511.0,220.2,118.31849,0.0,0.0,31.297246666666663,20241022151509,,未知,,,15.0,YONGSHUN88888
413829262,0.0,88.0,0.0,0.0,118.31194333333332,15.0,0.0,31.305143333333334,20241022151442,93680,货轮,EZHOU,0.0,,SONGYUAN568
413876376,0.0,26.0,511.0,255.6,118.315585,6.0,0.0,31.298306666666665,20241022151508,,装备排污设施的船舶,,,,
413832051,0.0,59.0,0.0,44.0,118.3139,11.0,0.0,31.29806,20241022151403,02ISB,货轮,,,,
413834284,0.0,90.0,272.0,272.0,118.314285,15.0,0.0,31.298485,20241022151500,000000,货轮,SHANGHAI,0.0,1.0,TAIHAI298
413995882,0.0,80.0,0.0,190.3,118.314015,15.0,0.0,31.298171666666665,20241022151459,,货轮,,,,
413778606,0.0,0.0,160.0,160.5,118.314165,0.0,0.0,31.29837333333333,20241022151507,,未知,,,,WANJIAOJI60
413834523,0.0,74.0,151.0,151.2,118.31409833333332,13.0,0.0,31.298268333333333,20241022151510,0000000,货轮,SHANGHAI,0.0,,HONGTU118
413780526,0.0,94.0,0.0,0.0,118.31068666666668,15.0,0.0,31.298636666666667,20241022151507,000000,货轮,SHANGHAI,0.0,0.0,YUANDONG556
413772127,0.0,72.0,511.0,129.5,118.31681333333331,13.0,0.0,31.29771,20241022151409,,货轮,,,,
413966383,-411.40489728068775,56.0,511.0,360.0,118.31072,8.0,0.0,31.305543333333333,20241022151516,,油轮,WUHU,0.0,0.0,CHANG RAN 64
413833322,0.0,59.0,0.0,0.0,118.31861166666668,11.0,0.0,31.297745,20241022151512,0000000,货轮,0,0.0,1.0,LONGSHENG2866
413818361,0.0,0.0,511.0,70.0,118.31996,0.0,0.0,31.29543333333333,20241022151511,,未知,,,,HONG SHUN 7912
413770573,0.0,0.0,511.0,280.7,118.31965333333332,0.0,0.0,31.29564,20241022151438,,未知,,,,WANXUANCHENGHUO6779
413792566,0.0,0.0,511.0,99.5,118.30972,0.0,4.7,31.30119,20241022151507,,未知,,,,HUAYEHUO918
413780064,0.0,0.0,511.0,289.3,118.31308166666666,0.0,3.9,31.30475,20241022151510,,未知,,,,JIANGDONGHUO5121
413771183,0.0,0.0,354.0,354.2,118.35038833333331,0.0,5.9,31.323328333333333,20241022151452,,未知,,,,TIANSHG0518
413806535,0.0,0.0,511.0,119.4,118.35995833333334,0.0,1.9,31.32638,20241022151516,,,,,,
413777612,0.0,0.0,102.0,102.4,118.36189333333331,0.0,1.8,31.326171666666667,20241022151422,,,,,,
413785367,0.0,52.0,511.0,102.6,118.361635,10.0,1.7,31.326216666666667,20241022151513,0000000,货轮,,0.0,15.0,WANXUANCHENGHUO6128
413869965,0.0,0.0,511.0,105.5,118.36112,0.0,1.4,31.326283333333333,20241022151453,,未知,,,,LONG SHENG  1228
413831957,0.0,0.0,511.0,347.7,118.34968,0.0,4.4,31.32527,20241022151408,,,,,,
413972022,0.0,0.0,7.0,7.3,118.35043,0.0,4.4,31.314588333333333,20241022151452,,未知,,,,CHUANFA98
413822856,0.0,0.0,511.0,4.7,118.35101833333331,0.0,6.1,31.31779833333333,20241022151504,,未知,,,5.0,JIANGSHUN5958
413851639,0.0,56.0,511.0,110.5,118.36246666666666,11.0,2.1,31.32605333333333,20241022151455,,货轮,,0.0,,ANYUN5688
413823495,0.0,0.0,121.0,121.4,118.36799833333332,0.0,2.7,31.32295166666667,20241022151411,,未知,,,,HUAYUAN256
413782489,0.0,47.0,127.0,127.1,118.366265,8.0,2.1,31.324006666666666,20241022151515,0000000,货轮,NAN TONG SAI YANG,0.0,0.0,WAN XING DA 798
413994357,0.0,45.0,119.0,119.3,118.36858833333334,9.0,2.5,31.32275,20241022151432,0,货轮,8,0.0,0.0,WAN LANG XI HUO 9188
413802929,0.0,0.0,511.0,360.0,118.34917666666666,0.0,5.3,31.321095,20241022151441,,未知,,,1.0,HUIHUANG999
413775832,0.0,99.0,511.0,3.6,118.35029333333334,17.0,4.5,31.318293333333333,20241022151403,,货轮,,,,
413762218,0.0,0.0,356.0,356.2,118.34980333333333,0.0,4.2,31.32122333333333,20241022151404,,未知,,,,WUHUZHONGDA888
413881036,0.0,55.0,511.0,89.6,118.36034,10.0,1.2,31.32648333333333,20241022151503,,货轮,,,0.0,
413784129,0.0,56.0,511.0,93.0,118.36009,9.0,1.6,31.32642333333333,20241022151442,0,货轮,NEW YORK,0.0,,WAN LIAN SHUN 128
413791316,0.0,56.0,93.0,93.8,118.36038333333332,10.0,1.6,31.32644,20241022151456,7286,货轮,,0.0,,WANHUOQIU7286
413871492,0.0,50.0,511.0,92.2,118.36001333333331,11.0,1.5,31.32643,20241022151517,,货轮,YICHUN,0.0,,LU JI NING HUO 8228
413829984,0.0,0.0,511.0,186.6,118.31689333333334,0.0,0.0,31.421116666666663,20241022151503,,未知,,,,FANGXING869
413805755,0.0,56.0,15.0,15.8,118.30945,10.0,7.5,31.45379,20241022151507,0578,货轮,,,,
413997543,0.0,0.0,511.0,39.4,118.31116666666668,0.0,6.0,31.42975,20241022151512,,未知,,,,QUANLINLIANGYOU20
413826781,0.0,59.0,511.0,157.3,118.31016,12.0,5.8,31.43888,20241022151432,,油轮,,,,
413835633,0.0,56.0,511.0,244.2,118.30770666666666,10.0,0.0,31.439356666666665,20241022151433,,货轮,0,0.0,0.0,WANSHUNXIN858
413800343,0.0,0.0,511.0,166.6,118.3077,0.0,0.0,31.44043333333333,20241022151412,,未知,,,,WANHUAYUAN999
413996157,0.0,0.0,511.0,353.2,118.30841666666667,0.0,7.2,31.441983333333333,20241022151516,,,,,,
413835456,0.0,86.0,147.0,147.8,118.31438333333334,15.0,0.0,31.497955,20241022151456,0,货轮,,,,
413832385,0.0,0.0,511.0,250.0,118.31454666666669,0.0,0.0,31.49813333333333,20241022151507,,未知,,,,HUA SHENG 818
413993928,0.0,0.0,171.0,171.8,118.33615333333331,0.0,6.0,31.35991,20241022151517,,未知,,,,HE XIE 1918
413964486,0.0,68.0,179.0,179.3,118.33513333333332,16.0,4.2,31.36638333333333,20241022151431,B,货轮,NEW YORK,0.0,,SUSUHUO1870
413802037,0.0,0.0,511.0,171.3,118.33504,0.0,4.5,31.36518166666667,20241022151445,,未知,,,,XIN JIN JIANG
413819303,0.0,0.0,169.0,169.6,118.337935,0.0,5.1,31.351555,20241022151513,,未知,,,,QINHAI 556
413873397,0.0,61.0,511.0,286.9,118.34957333333334,15.0,0.0,31.345155,20241022151502,,游艇,,,0.0,
413849633,0.0,58.0,511.0,118.0,118.35672333333332,11.0,1.4,31.32661333333333,20241022151431,,货轮,NANJING,0.0,0.0,YOUCHUAN1658
413792718,0.0,0.0,511.0,122.2,118.35578333333332,0.0,1.5,31.327011666666667,20241022151450,,未知,,,0.0,ANYUN6288
413790904,0.0,0.0,511.0,119.1,118.3554,0.0,1.7,31.327326666666668,20241022151514,,未知,,,,WU HU JIN WANG 2218 
413828458,0.0,54.0,511.0,54.0,118.35269333333332,9.0,1.1,31.32824,20241022151512,000000,货轮,HANGZHOU,0.0,,HUA TONG 988
413820038,0.0,63.0,122.0,122.0,118.35575833333333,11.0,5.0,31.326988333333333,20241022151507,YYYY,货轮,,,,
413821358,0.0,0.0,347.0,348.5,118.34923833333332,0.0,4.2,31.32740833333333,20241022151447,,未知,,,,SHANGQING6HAO
413849489,0.0,0.0,171.0,171.6,118.33706333333332,0.0,4.7,31.353536666666667,20241022151445,,未知,,,,SUWUXIHUO55559
413781619,0.0,51.0,511.0,142.9,118.33210666666666,10.0,0.0,31.373886666666667,20241022151510,,油轮,WUHU,0.0,5.0,HONGDA99
413858867,0.0,60.0,511.0,248.2,118.33242666666666,13.0,0.0,31.374026666666666,20241022151512,,货轮（载有A类危险、有害或污染货物),,,,
413782115,0.0,0.0,173.0,173.2,118.33441166666668,0.0,5.9,31.371188333333333,20241022151514,,未知,,,,WANZONGYANGHUO10108
413849869,0.0,67.0,511.0,164.0,118.33918666666666,11.0,4.9,31.34497,20241022151517,,货轮,JINGZHOU,0.0,0.0,CHANGTONGTENGDA
413811693,0.0,0.0,511.0,32.6,118.35134,0.0,6.5,31.490901666666662,20241022151511,,未知,,,0.0,JI XIANG YONG YU
413880166,0.0,0.0,511.0,31.6,118.37057833333331,0.0,5.0,31.51608333333333,20241022151444,,未知,,,,LIANYUN168
413881426,0.0,110.0,511.0,10.6,118.36074666666669,16.0,0.0,31.495373333333333,20241022151434,,油轮,YUEYANG,0.0,,BAOHANG96
413772875,0.0,0.0,511.0,358.9,118.34164833333334,0.0,5.2,31.37159,20241022151455,,未知,,,,CHANGFENG6999
413879598,0.0,0.0,511.0,356.7,118.34136333333332,0.0,5.3,31.37527333333333,20241022151430,,未知,,,,SHENGTONG1009
413842179,0.0,0.0,511.0,359.3,118.34394666666668,0.0,4.1,31.375586666666667,20241022151511,,未知,,,,CHANGTAIRUYI
413834319,0.0,0.0,511.0,181.3,118.33414666666668,0.0,4.0,31.37856,20241022151438,,未知,,,,JINTAI9688
413800482,0.0,99.0,511.0,356.0,118.34129333333334,17.0,4.9,31.380513333333333,20241022151509,,货轮,EZHOU,0.0,,WAN AN SHUN8858
413838009,0.0,0.0,172.0,172.1,118.334085,0.0,6.1,31.372515,20241022151409,,未知,,,,JINGJINJI601
413794498,0.0,0.0,511.0,171.1,118.33495666666668,0.0,4.7,31.372725,20241022151504,,,,,,
413850393,0.0,0.0,511.0,66.4,118.33333333333331,0.0,0.0,31.37193333333333,20241022151405,,未知,,,,RONGHAI166
413804478,0.0,57.0,511.0,208.9,118.33556,10.0,3.6,31.38358,20241022151509,,货轮,NANTONG,0.0,,YUXINYANGHUO0349
413869943,0.0,67.0,511.0,360.0,118.343275,11.0,4.8,31.384623333333334,20241022151426,,货轮,ZHOUKOU,0.0,0.0,DONGTAI766
413800584,0.0,104.0,511.0,360.0,118.35137833333332,17.0,0.0,31.48659,20241022151447,0000000,货轮,,,0.0,
413800542,0.0,0.0,511.0,330.7,118.35182666666668,0.0,0.1,31.4863,20241022151428,,未知,,,,XIANGSHENG1688
413771364,0.0,93.0,511.0,122.1,118.35214333333332,15.0,0.1,31.486015,20241022151449,,货轮,,,1.0,
413802214,0.0,80.0,511.0,56.2,118.35352666666668,14.0,0.0,31.485555,20241022151453,456789,货轮,0,0.0,,YUSHUNDA11028
413798817,0.0,130.0,511.0,191.8,118.35325333333331,16.0,0.0,31.48727333333333,20241022151443,0,货轮,,,,
413830322,0.0,82.0,511.0,172.7,118.35406666666668,15.0,0.0,31.48808,20241022151455,0000000,货轮,,,,
413804788,0.0,0.0,511.0,156.8,118.35481333333334,0.0,0.0,31.487686666666665,20241022151415,,未知,,,,HONG FA 57
413802165,0.0,0.0,511.0,68.5,118.35166666666667,0.0,2.6,31.490683333333333,20241022151501,,未知,,,,WANZHONGXI6188
275544000,0.0,89.0,511.0,3.6,118.40128333333334,12.0,5.4,31.62175166666667,20241022151421,YLSF,货轮,,9963023.0,5.0,AZURE
413602330,0.0,70.0,4.0,5.4,118.39914666666668,15.0,9.0,31.61186,20241022151505,,其他船舶,DA LIAN,0.0,8.0,LONG JING 001
413975639,0.0,0.0,511.0,193.5,118.38852333333334,0.0,5.4,31.576473333333333,20241022151438,,,,,,
413838039,0.0,110.0,511.0,180.3,118.39077833333332,17.0,3.7,31.572076666666668,20241022151514,0,货轮,,,,
